"Name","Scan 00777"
"Id","d7c38db6-a23f-11f1-964d-13394ae80478"
"Version","1"
"Firstwavenumber","400"
"LastWavenumber","2300"
"Range","400 - 2300 cm-1"
"Wavelength","785"
"UserName","Default"
"CreatedDate","2026-08-27 13:51:11-04:00"
"ModifiedDate","2026-08-27 13:51:11-04:00"
"ScanNumber","00777"
"HazardLevel","Alarm"
"HazardColor","#ff9191"
"SampleHazardType","Illicit Drug"
"Comment",""
"ProductId",""
"LotId",""
"BatchId",""
"Container",""
"Supplier",""
"OpName","Default Procedure"
"OpVersion","1"
"SmartAcquire","On"
"IntTime","10.00"
"AutoInt","On"
"Averages","3"
"LaserPower","5"
"Bdm","Off"
"SmartTipName","Intelligent UA, Bag (Position 2)"
"SmartTipSerialNumber","6075060600901977"
"LibraryMatchResult",""
"MixtureMatchResultCount","2"
"SERSResult",""
"VerificationMatchResult",""
"VerificationMatchResultColor","#00ffffff"
"MixtureResults_1/Name","4-MTA"
"MixtureResults_1/FirstWavenumber","400"
"MixtureResults_1/LastWavenumber","2300"
"MixtureResults_1/ResultScore","0.99"
"MixtureResults_1/CAS",": 14116-06-4"
"MixtureResults_1/HazardLevel","Alarm"
"MixtureResults_1/HazardColor","#ff9191"
"MixtureResults_1/SampleType","Illicit Drug"
"MixtureResults_1/HazardComment","Amphetamine/Amphetamine Analog"
"MixtureResults_1/MatchLibraryName","Illicit and General Chemicals"
"MixtureResults_1/MatchLibraryVersion","44"
