action,destination,destination_liquid,destination_liquid_after,destination_liquid_before,destination_volume_ul,final_destination_volume_ul,flow_rate_ul_s,liquid,location,location_total_volume_ul,message,mix_repetitions,mix_volume_ul,mode,num_samples,pipette,position,rep,sample_index,sample_source,sample_volume_ul,source,source_remaining_ul,status,step,timestamp,total_reps,volume_ul,water_source,water_volume_ul,x_mm,y_mm,z_mm,z_offset_mm
SAMPLE_COMPLETE,B1,mixture(sample_1+water),,,,100.0,,,,,,,,,,,,,1,,,,,,19,2026-04-27T15:36:37,,,,,,,,
SAMPLE_START,B2,,,,,,,,,,,,,,,,,,2,A2,,,,,20,2026-04-27T15:36:37,,,C2,,,,,
PICK_UP_TIP,,,,,,,,,,,,,,,,p300_single_gen2,,,,,,,,,21,2026-04-27T15:36:37,,,,,,,,
MOVE_TO,,,,,,,,,A2,,,,,,,,,,,,,,,,22,2026-04-27T15:36:37,,,,,19.0,10.0,6.0,1.0
ASPIRATE,,,,,,,5.0,sample_2,,,,,,,,,,,,,,A2,40.0,,23,2026-04-27T15:36:37,,10.0,,,,,,
MOVE_TO,,,,,,,,,B2,,,,,,,,,,,,,,,,24,2026-04-27T15:36:37,,,,,19.0,19.0,6.0,1.0
DISPENSE,B2,,sample_2,empty,10.0,,5.0,,,,,,,,,,,,,,,,,,25,2026-04-27T15:36:37,,10.0,,,,,,
MOVE_TO,,,,,,,,,C2,,,,,,,,,,,,,,,,26,2026-04-27T15:36:37,,,,,19.0,28.0,6.0,1.0
ASPIRATE,,,,,,,5.0,water,,,,,,,,,,,,,,C2,110.0,,27,2026-04-27T15:36:37,,90.0,,,,,,
MOVE_TO,,,,,,,,,B2,,,,,,,,,,,,,,,,28,2026-04-27T15:36:37,,,,,19.0,19.0,6.0,1.0
DISPENSE,B2,,mixture(sample_2+water),sample_2,100.0,,5.0,,,,,,,,,,,,,,,,,,29,2026-04-27T15:36:37,,90.0,,,,,,
MIX_CYCLE,,,,,,,,,B2,100.0,,,60.0,,,,,1,,,,,,,30,2026-04-27T15:36:37,5,,,,,,,
MIX_CYCLE,,,,,,,,,B2,100.0,,,60.0,,,,,2,,,,,,,31,2026-04-27T15:36:37,5,,,,,,,
MIX_CYCLE,,,,,,,,,B2,100.0,,,60.0,,,,,3,,,,,,,32,2026-04-27T15:36:37,5,,,,,,,
MIX_CYCLE,,,,,,,,,B2,100.0,,,60.0,,,,,4,,,,,,,33,2026-04-27T15:36:37,5,,,,,,,
MIX_CYCLE,,,,,,,,,B2,100.0,,,60.0,,,,,5,,,,,,,34,2026-04-27T15:36:37,5,,,,,,,
DROP_TIP,,,,,,,,,,,,,,,,p300_single_gen2,,,,,,,,,35,2026-04-27T15:36:37,,,,,,,,
SAMPLE_COMPLETE,B2,mixture(sample_2+water),,,,100.0,,,,,,,,,,,,,2,,,,,,36,2026-04-27T15:36:37,,,,,,,,
SAMPLE_START,B3,,,,,,,,,,,,,,,,,,3,A3,,,,,37,2026-04-27T15:36:37,,,C3,,,,,
PICK_UP_TIP,,,,,,,,,,,,,,,,p300_single_gen2,,,,,,,,,38,2026-04-27T15:36:37,,,,,,,,
MOVE_TO,,,,,,,,,A3,,,,,,,,,,,,,,,,39,2026-04-27T15:36:37,,,,,28.0,10.0,6.0,1.0
ASPIRATE,,,,,,,5.0,sample_3,,,,,,,,,,,,,,A3,40.0,,40,2026-04-27T15:36:37,,10.0,,,,,,
MOVE_TO,,,,,,,,,B3,,,,,,,,,,,,,,,,41,2026-04-27T15:36:37,,,,,28.0,19.0,6.0,1.0
