step_index,phase,action,source_well,destination_well,volume_ul,print_label,x_mm,y_mm,image_expected,image_name,status
1,dilution,pipette_water,A7,B7,180.0,,0.0,0.0,False,,ok
2,dilution,pipette_water,A8,B8,150.0,,0.0,0.0,False,,ok
3,dilution,pipette_water,A9,B9,100.0,,0.0,0.0,False,,ok
4,dilution,pipette_stock,A1,B7,20.0,,0.0,0.0,False,,ok
5,dilution,mix_well_3x,,B7,100.0,,0.0,0.0,False,,ok
6,dilution,pipette_stock,A1,B8,50.0,,0.0,0.0,False,,ok
7,dilution,mix_well_3x,,B8,100.0,,0.0,0.0,False,,ok
8,dilution,pipette_stock,A1,B9,100.0,,0.0,0.0,False,,ok
9,dilution,mix_well_3x,,B9,100.0,,0.0,0.0,False,,ok
10,printing,aspirate_print_source,B7,,10.0,,0.0,0.0,False,,ok
11,printing,print_droplet,,,10.0,dilution_1,5.0,5.0,False,,ok
12,printing,aspirate_print_source,B8,,10.0,,0.0,0.0,False,,ok
13,printing,print_droplet,,,10.0,dilution_2,10.0,10.0,False,,ok
14,printing,aspirate_print_source,B9,,10.0,,0.0,0.0,False,,ok
15,printing,print_droplet,,,10.0,dilution_3,15.0,15.0,False,,ok
